index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
89,0.795181,0.241377,0.185201,0.405245,0.106766,0.156492,-0.0630793,0.0860529,0.0755689,0.00194058,0,0,0,0.299238,0.218144,-3.18704e-13,11.6957,-1.38774,266.332
90,0.804217,0.248194,0.190294,0.404107,0.10772,0.162504,-0.063231,0.0963929,0.0821871,0.00335332,0,0,0,0.299238,0.218144,-3.18704e-13,13.7172,-1.62087,311.893
91,0.813253,0.255065,0.195381,0.403422,0.108929,0.16225,-0.0617453,0.110823,0.0914233,0.00532496,0,0,0,0.299238,0.218144,-3.18704e-13,14.4225,-1.68988,327.128
92,0.822289,0.261995,0.200461,0.403255,0.110353,0.156056,-0.0589302,0.12973,0.103538,0.00799773,0,0,0,0.299238,0.218144,-3.18704e-13,14.1998,-1.18123,319.468
93,0.831325,0.268982,0.205538,0.403586,0.111923,0.144667,-0.0551616,0.152575,0.118242,0.0116668,0,0,0,0.299238,0.218144,-3.18704e-13,13.6597,-0.0196116,302.491
94,0.840361,0.276025,0.210614,0.404346,0.113568,0.128956,-0.0507612,0.178641,0.135141,0.0166572,0,0,0,0.299238,0.218144,-3.18704e-13,12.9346,1.51889,280.155
95,0.849398,0.283121,0.215696,0.405449,0.11523,0.10978,-0.0459677,0.207212,0.153839,0.0232939,0,0,0,0.299238,0.218144,-3.18704e-13,12.1572,3.15818,256.418
96,0.858434,0.290267,0.220792,0.406799,0.116862,0.0879258,-0.0409478,0.237569,0.173941,0.0319019,0,0,0,0.299238,0.218144,-3.18704e-13,11.4599,4.62216,235.234
97,0.86747,0.297459,0.225905,0.408312,0.118431,0.0640678,-0.0358289,0.268996,0.195051,0.0428061,0,0,0,0.299238,0.218144,-3.18704e-13,10.9754,5.63475,220.562
98,0.876506,0.304697,0.231042,0.409933,0.119911,0.0387791,-0.0307521,0.300776,0.216774,0.0563305,0,0,0,0.299238,0.218144,-3.18704e-13,10.8108,5.95899,216.397
99,0.885542,0.311978,0.236203,0.411645,0.121287,0.0125866,-0.0259068,0.33222,0.238682,0.0724711,0,0,0,0.299238,0.218144,-3.18704e-13,9.99643,7.05873,226.483
100,0.894578,0.319299,0.241394,0.413489,0.122555,-0.0138843,-0.0214532,0.362705,0.260269,0.0904194,0,0,0,0.299238,0.218144,-3.18704e-13,8.26763,9.40156,247.913
101,0.903614,0.326654,0.246624,0.415548,0.12371,-0.0398124,-0.0174979,0.391622,0.281017,0.109246,0,0,0,0.299238,0.218144,-3.18704e-13,6.0223,12.446,275.776
102,0.912651,0.334033,0.251904,0.417934,0.124746,-0.0641736,-0.0141496,0.41836,0.300406,0.128022,0,0,0,0.299238,0.218144,-3.18704e-13,3.65834,15.6507,305.162
