index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
91,0.813253,0.0425825,0.328825,0.468824,0.108511,0.396624,-0.160487,-0.108257,0.123478,0.0370533,0,0,0,0.0444905,0.42646,-2.82247e-11,21.0368,-10.6847,247.132
92,0.822289,0.0488472,0.335156,0.469398,0.110672,0.391802,-0.166227,-0.0895481,0.124192,0.0547608,0,0,0,0.0444905,0.42646,-2.82247e-11,21.4989,-11.4704,244.22
93,0.831325,0.0552002,0.34144,0.470165,0.113817,0.383792,-0.167212,-0.0668781,0.126059,0.074845,0,0,0,0.0444905,0.42646,-2.82247e-11,22.5643,-13.2882,237.506
94,0.840361,0.0616455,0.347669,0.471099,0.117703,0.372968,-0.164306,-0.0408942,0.130026,0.0953613,0,0,0,0.0444905,0.42646,-2.82247e-11,23.9787,-15.7036,228.591
95,0.849398,0.0681888,0.353834,0.472165,0.122052,0.359641,-0.158492,-0.012244,0.137041,0.114365,0,0,0,0.0444905,0.42646,-2.82247e-11,25.4879,-18.2818,219.078
96,0.858434,0.074836,0.359925,0.473325,0.126603,0.344086,-0.150762,0.0184252,0.148051,0.129912,0,0,0,0.0444905,0.42646,-2.82247e-11,26.8377,-20.5884,210.57
97,0.86747,0.0815926,0.365931,0.474546,0.131145,0.326571,-0.142008,0.0504656,0.164003,0.140058,0,0,0,0.0444905,0.42646,-2.82247e-11,27.7737,-22.1888,204.668
98,0.876506,0.088462,0.371849,0.475804,0.135536,0.307403,-0.132928,0.0832298,0.185842,0.14286,0,0,0,0.0444905,0.42646,-2.82247e-11,28.0243,-22.6514,203.027
99,0.885542,0.0954448,0.377674,0.477094,0.139705,0.287003,-0.123952,0.116049,0.213755,0.137396,0,0,0,0.0444905,0.42646,-2.82247e-11,26.7337,-21.8682,208.585
100,0.894578,0.102536,0.383411,0.47844,0.143641,0.266042,-0.115195,0.148204,0.246072,0.125234,0,0,0,0.0444905,0.42646,-2.82247e-11,23.995,-20.2045,220.382
101,0.903614,0.109724,0.389065,0.479887,0.147369,0.24547,-0.106534,0.178968,0.280844,0.108319,0,0,0,0.0444905,0.42646,-2.82247e-11,20.44,-18.0445,235.698
102,0.912651,0.116996,0.394646,0.481495,0.150917,0.22646,-0.0977172,0.207612,0.31612,0.0885945,0,0,0,0.0444905,0.42646,-2.82247e-11,16.7004,-15.7717,251.81
103,0.921687,0.124336,0.400163,0.483329,0.154315,0.210296,-0.088475,0.233409,0.349953,0.0680062,0,0,0,0.0444905,0.42646,-2.82247e-11,13.408,-13.7702,265.998
104,0.930723,0.131732,0.405623,0.485445,0.157586,0.198244,-0.0786207,0.255632,0.380391,0.0484982,0,0,0,0.0444905,0.42646,-2.82247e-11,11.1946,-12.4237,275.54
105,0.939759,0.139174,0.411031,0.48788,0.160768,0.191399,-0.0681402,0.273557,0.405494,0.0320082,0,0,0,0.0444905,0.42646,-2.82247e-11,10.5815,-12.0276,276.953
106,0.948795,0.14666,0.416391,0.490627,0.163912,0.190476,-0.0572293,0.286911,0.424243,0.0196571,0,0,0,0.0444905,0.42646,-2.82247e-11,9.70506,-11.0309,254.072
107,0.957831,0.154184,0.421706,0.493596,0.167089,0.195575,-0.0461739,0.296294,0.437417,0.0109788,0,0,0,0.0444905,0.42646,-2.82247e-11,7.97905,-9.06875,208.917
108,0.966867,0.161741,0.426985,0.496608,0.170373,0.206125,-0.0352077,0.302406,0.445999,0.00532537,0,0,0,0.0444905,0.42646,-2.82247e-11,5.78832,-6.57868,151.572
109,0.975904,0.169321,0.432237,0.499437,0.173824,0.221005,-0.0244473,0.305949,0.450974,0.00204853,0,0,0,0.0444905,0.42646,-2.82247e-11,3.51777,-3.99804,92.1228
